Province/State;Country/Region;Lat;Long;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;02.01.2020;02.02.2020;02.03.2020;02.04.2020;02.05.2020;02.06.2020;02.07.2020;02.08.2020;02.09.2020;02.10.2020;02.11.2020;02.12.2020;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;03.01.2020;03.02.2020;03.03.2020;03.04.2020;03.05.2020;03.06.2020;03.07.2020;03.08.2020;03.09.2020;03.10.2020;03.11.2020;03.12.2020
;Iraq;33;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7;13;19;26;32;35;35;40;54;60;60;71;71;71
;Oman;21;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;4;6;6;6;12;15;16;16;16;16;16;18;18;18
;Afghanistan;33;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;5;7;7
;Bahrain;260.275;50.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;33;33;36;41;47;49;49;52;55;60;85;85;95;110;195;195
;Kuwait;29. Mai;47.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;26;43;45;45;45;56;56;56;58;58;61;64;64;69;72;80
;Algeria;280.339;16.596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;12;12;17;17;19;20;20;20;24
;Croatia;45.1;15. Feb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;5;6;7;7;9;10;10;11;12;12;12;14;19;19
;Switzerland;468.182;82.275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;18;27;42;56;90;114;214;268;337;374;491;652;652
;Austria;475.162;145.501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302
;Israel;31;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;3;4;7;10;10;12;15;20;37;43;61;61;83;109;131
